                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6938,                 1.2569,                 1.5688,                0.80955,                0.70223,                0.80424,                0.47533,                 2.3003,                 2.0602,                 2.0505,               0.006634,               0.006634,               0.006634
                     36,                 1.7108,                 1.2582,                 1.5657,                0.77554,                0.74839,                0.80209,                0.51677,                 2.1552,                 1.9896,                 1.9252,               0.006535,               0.006535,               0.006535
                     37,                 1.6468,                 1.2343,                 1.5534,                0.73149,                0.73401,                0.79465,                0.49737,                 2.1202,                 2.2507,                 1.9965,               0.006436,               0.006436,               0.006436
                     38,                 1.6536,                 1.2275,                 1.5758,                0.77314,                0.77428,                0.81681,                0.51423,                 2.2503,                  2.136,                 2.0157,               0.006337,               0.006337,               0.006337
                     39,                 1.6445,                 1.2129,                 1.5596,                0.84915,                0.79602,                0.85922,                0.52664,                 2.2278,                 1.8439,                 1.9625,               0.006238,               0.006238,               0.006238
                     40,                 1.6077,                 1.1572,                 1.5277,                0.83765,                 0.7883,                0.86145,                0.53885,                 2.0076,                 2.0049,                  1.866,               0.006139,               0.006139,               0.006139
                     41,                 1.6215,                 1.1978,                 1.5477,                0.87485,                 0.7839,                0.87238,                 0.5357,                 2.0975,                 2.0463,                 1.9092,                0.00604,                0.00604,                0.00604
                     42,                  1.626,                  1.196,                 1.5409,                0.81144,                 0.7617,                0.84414,                0.53351,                 2.0291,                 2.1808,                 1.8987,               0.005941,               0.005941,               0.005941
                     43,                 1.6039,                 1.1507,                 1.5248,                0.89296,                0.73103,                0.81531,                0.52708,                 2.0114,                 2.0459,                 1.8952,               0.005842,               0.005842,               0.005842
                     44,                 1.6279,                 1.1521,                 1.5394,                 0.8625,                0.79373,                0.85888,                0.54872,                 2.2907,                  1.976,                 2.0274,               0.005743,               0.005743,               0.005743
                     45,                 1.6145,                 1.1361,                 1.4967,                0.87966,                 0.7949,                0.86927,                0.57747,                 2.0293,                 1.9663,                 1.9295,               0.005644,               0.005644,               0.005644
                     46,                 1.6058,                 1.1703,                 1.5218,                0.88197,                0.72674,                0.84665,                0.52419,                 2.0058,                 2.1498,                 1.8667,               0.005545,               0.005545,               0.005545
                     47,                 1.5742,                 1.1198,                 1.5015,                0.86611,                  0.789,                 0.8632,                0.55878,                 2.1222,                 2.1246,                 1.8861,               0.005446,               0.005446,               0.005446
                     48,                  1.572,                 1.1409,                  1.507,                  0.736,                0.74345,                 0.7901,                0.45739,                 2.1443,                 1.7501,                 1.9116,               0.005347,               0.005347,               0.005347
                     49,                 1.5607,                 1.1113,                 1.4879,                0.87401,                0.76319,                0.87122,                0.52742,                 2.0611,                 1.9708,                 1.9184,               0.005248,               0.005248,               0.005248
                     50,                 1.5715,                 1.1003,                 1.4655,                0.85193,                0.81097,                0.87939,                0.55908,                 2.1977,                 2.0753,                 1.9547,               0.005149,               0.005149,               0.005149
                     51,                 1.5917,                  1.107,                  1.492,                0.87991,                0.81207,                0.87043,                0.57183,                  2.045,                  1.961,                  1.878,                0.00505,                0.00505,                0.00505
                     52,                 1.5771,                 1.1319,                 1.5065,                0.84051,                0.80293,                0.86053,                0.53897,                 2.1087,                 1.8757,                 1.9363,               0.004951,               0.004951,               0.004951
                     53,                  1.531,                 1.0701,                 1.4427,                0.86947,                0.79235,                 0.8595,                0.57286,                 2.1858,                 2.0029,                 1.9619,               0.004852,               0.004852,               0.004852
                     54,                 1.5506,                 1.0482,                 1.4622,                0.83112,                  0.789,                0.87018,                0.54906,                  2.048,                 1.5941,                 1.8148,               0.004753,               0.004753,               0.004753
                     55,                 1.5344,                 1.0747,                 1.4565,                0.88094,                0.82234,                0.88401,                 0.5849,                 1.9974,                 1.8925,                 1.8157,               0.004654,               0.004654,               0.004654
                     56,                 1.5212,                 1.0434,                 1.4744,                0.86543,                0.81097,                0.88068,                0.57024,                 2.0119,                 1.8846,                 1.8729,               0.004555,               0.004555,               0.004555
                     57,                 1.5182,                 1.0346,                 1.4296,                0.85565,                0.80328,                0.87621,                0.58113,                 2.0161,                 1.8686,                 1.8381,               0.004456,               0.004456,               0.004456
                     58,                 1.5324,                 1.0611,                 1.4418,                0.82947,                0.79006,                0.86994,                0.58477,                 1.9796,                 1.5673,                 1.8104,               0.004357,               0.004357,               0.004357
                     59,                 1.5136,                   1.02,                 1.4245,                0.89742,                0.79357,                0.88773,                0.58452,                 2.1803,                 1.4315,                 1.8717,               0.004258,               0.004258,               0.004258
                     60,                 1.5296,                 1.0394,                 1.4416,                0.80039,                0.86557,                0.88712,                0.57372,                 2.1006,                 1.4964,                 1.8768,               0.004159,               0.004159,               0.004159
                     61,                 1.5327,                 1.0316,                 1.4561,                0.87981,                0.80281,                0.88479,                0.53286,                  2.022,                 1.9333,                 1.8441,                0.00406,                0.00406,                0.00406
                     62,                 1.5109,                  1.046,                 1.4465,                  0.899,                 0.8062,                0.87803,                0.57523,                  2.054,                 1.9731,                 1.8392,               0.003961,               0.003961,               0.003961
                     63,                 1.5273,                 1.0298,                 1.4399,                0.86405,                0.83518,                0.89768,                0.60231,                 1.9145,                 1.6695,                 1.7744,               0.003862,               0.003862,               0.003862
                     64,                 1.4952,                0.98814,                  1.411,                0.89497,                0.79842,                0.88805,                0.58396,                 1.9238,                 1.7358,                 1.8018,               0.003763,               0.003763,               0.003763
                     65,                 1.4761,                 1.0047,                  1.428,                0.86582,                0.80853,                0.87506,                0.61044,                 2.0192,                 1.8532,                 1.8469,               0.003664,               0.003664,               0.003664
                     66,                 1.4966,                 1.0264,                 1.4282,                0.89156,                0.81057,                0.89489,                0.62109,                 2.0917,                 1.6946,                 1.8612,               0.003565,               0.003565,               0.003565
                     67,                 1.4833,                 1.0064,                  1.415,                0.86807,                0.82082,                0.89056,                0.57739,                 2.0983,                   1.58,                 1.8219,               0.003466,               0.003466,               0.003466
                     68,                  1.487,                 1.0364,                 1.4289,                0.87942,                0.83812,                0.90211,                0.61206,                 1.9065,                 1.8272,                 1.7846,               0.003367,               0.003367,               0.003367
                     69,                 1.4567,                0.98287,                 1.4041,                0.86257,                0.83218,                0.90163,                0.60788,                 2.0111,                 1.8034,                 1.8476,               0.003268,               0.003268,               0.003268
                     70,                 1.4805,                 0.9784,                 1.4444,                0.86009,                0.84118,                0.90091,                0.62894,                 1.8938,                 1.9613,                 1.7918,               0.003169,               0.003169,               0.003169
                     71,                 1.4564,                0.96016,                 1.3967,                0.87417,                0.82005,                 0.8964,                0.60521,                 1.9575,                 1.6963,                 1.8134,                0.00307,                0.00307,                0.00307
                     72,                 1.4547,                 0.9586,                 1.4132,                0.91091,                0.83492,                0.90375,                0.61295,                 2.0115,                 1.9549,                 1.8407,               0.002971,               0.002971,               0.002971
                     73,                 1.4528,                0.96921,                 1.4203,                0.86744,                0.83828,                0.89982,                0.62339,                 2.1766,                 1.8597,                 1.8836,               0.002872,               0.002872,               0.002872
                     74,                 1.4785,                0.97408,                 1.3947,                0.89346,                0.83577,                0.89929,                0.61561,                 2.1547,                 1.7462,                 1.8504,               0.002773,               0.002773,               0.002773
                     75,                 1.4512,                0.95393,                 1.3872,                0.86281,                0.82241,                0.90108,                0.61576,                 2.0785,                 1.9504,                 1.8283,               0.002674,               0.002674,               0.002674
                     76,                 1.4288,                0.94233,                 1.3659,                0.88847,                0.81199,                 0.8948,                0.60603,                 2.2195,                 1.6768,                 1.9177,               0.002575,               0.002575,               0.002575
                     77,                  1.456,                 0.9421,                  1.397,                0.91999,                0.82078,                0.90081,                0.63427,                 2.0505,                 2.0063,                 1.8689,               0.002476,               0.002476,               0.002476
                     78,                 1.4272,                0.92686,                  1.368,                0.90404,                0.81907,                 0.9006,                0.62185,                 2.2186,                 1.7248,                  1.886,               0.002377,               0.002377,               0.002377
                     79,                 1.4491,                0.95908,                 1.3785,                0.91279,                 0.8134,                0.90148,                0.63198,                  2.132,                 1.7996,                 1.8644,               0.002278,               0.002278,               0.002278
                     80,                 1.4217,                0.93311,                 1.3726,                0.89094,                0.84098,                0.90083,                0.61725,                 1.9492,                 2.0511,                 1.8493,               0.002179,               0.002179,               0.002179
                     81,                  1.431,                0.94311,                 1.3778,                0.87458,                0.83743,                0.90379,                0.62305,                 1.9797,                 1.9972,                 1.8435,                0.00208,                0.00208,                0.00208
                     82,                 1.4385,                0.93596,                  1.412,                0.87803,                0.83522,                0.90559,                0.62492,                 2.1436,                 1.9124,                 1.8681,               0.001981,               0.001981,               0.001981
                     83,                 1.3986,                0.89843,                 1.3635,                0.88259,                0.84501,                0.90483,                0.61807,                 2.0762,                 1.7787,                 1.8005,               0.001882,               0.001882,               0.001882
                     84,                 1.3936,                0.90597,                 1.3609,                0.89861,                0.82127,                0.89678,                0.60676,                 1.9915,                  1.875,                 1.8141,               0.001783,               0.001783,               0.001783
                     85,                 1.4198,                 0.9083,                 1.3351,                0.87873,                0.83149,                0.90216,                0.62643,                 1.8671,                  1.914,                 1.7882,               0.001684,               0.001684,               0.001684
                     86,                 1.4209,                0.91452,                 1.3786,                0.88576,                0.84451,                0.89971,                0.62585,                   1.99,                 1.8997,                 1.8151,               0.001585,               0.001585,               0.001585
                     87,                 1.3897,                0.90193,                 1.3378,                0.88175,                0.84759,                0.90071,                0.62337,                 1.9975,                 1.8721,                 1.8148,               0.001486,               0.001486,               0.001486
                     88,                 1.3903,                0.90043,                 1.3617,                0.92274,                0.82958,                0.91238,                0.62708,                 2.0029,                 1.7389,                 1.7664,               0.001387,               0.001387,               0.001387
                     89,                  1.412,                0.88374,                 1.3504,                0.88034,                0.86834,                0.90486,                0.63976,                 1.9978,                 1.9405,                 1.8097,               0.001288,               0.001288,               0.001288
                     90,                 1.3952,                0.88829,                 1.3608,                0.89229,                0.85118,                0.90963,                0.64601,                 2.1158,                 1.9529,                 1.8802,               0.001189,               0.001189,               0.001189
                     91,                 1.3829,                0.88491,                  1.378,                0.92133,                0.83624,                0.90896,                0.64237,                 2.0324,                 1.7171,                   1.85,                0.00109,                0.00109,                0.00109
                     92,                 1.3531,                0.88948,                 1.3273,                0.89496,                0.83841,                0.90678,                0.63061,                 1.9813,                 1.9119,                  1.851,               0.000991,               0.000991,               0.000991
                     93,                 1.3827,                 0.8836,                 1.3485,                 0.9308,                0.82206,                0.91257,                0.63628,                  2.005,                    1.7,                 1.8117,               0.000892,               0.000892,               0.000892
                     94,                 1.3786,                0.88499,                 1.3322,                0.89623,                 0.8507,                0.91307,                0.65084,                 1.9741,                 1.7538,                 1.7774,               0.000793,               0.000793,               0.000793
                     95,                 1.3814,                 0.9103,                 1.3397,                0.90277,                0.84408,                0.91351,                0.63331,                  2.182,                 1.8245,                 1.8752,               0.000694,               0.000694,               0.000694
                     96,                 1.3944,                0.89246,                 1.3354,                0.87164,                0.87493,                0.91213,                0.63064,                 2.0048,                 1.7054,                 1.8121,               0.000595,               0.000595,               0.000595
                     97,                 1.3551,                0.88086,                 1.3331,                0.91368,                0.82806,                0.91125,                0.64299,                 1.9823,                 1.8471,                 1.8043,               0.000496,               0.000496,               0.000496
                     98,                 1.3831,                0.88593,                 1.3418,                0.88417,                0.85629,                0.90752,                0.63775,                  2.089,                 1.7033,                 1.8383,               0.000397,               0.000397,               0.000397
                     99,                 1.3529,                0.86992,                 1.3368,                0.89208,                0.86729,                0.91692,                0.63764,                 2.0569,                  1.678,                 1.8327,               0.000298,               0.000298,               0.000298
                    100,                 1.3575,                0.87179,                 1.3324,                0.86201,                 0.8855,                0.91551,                 0.6408,                 2.1206,                 1.5724,                 1.8426,               0.000199,               0.000199,               0.000199
