                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4216,                 5.2752,                 4.3088,                 0.0009,                0.26583,                0.00597,                0.00127,                 5.2271,                 5.4239,                 3.9514,                 0.0856,                 0.0016,                 0.0016
                      2,                 4.2977,                 4.7729,                  4.154,                0.00207,                0.17925,                0.00152,                0.00086,                 5.3072,                 5.1579,                 3.9277,               0.070267,              0.0032673,              0.0032673
                      3,                 3.8654,                 4.1488,                 3.8832,                0.00202,                0.17315,                0.00152,                 0.0009,                 5.1802,                 4.9437,                 3.7912,               0.054901,               0.004901,               0.004901
                      4,                 3.4011,                  3.496,                 3.4674,                0.00232,                0.19875,                0.00329,                0.00093,                 5.1477,                 4.9348,                 3.7631,               0.039501,               0.006501,               0.006501
                      5,                 3.0338,                 3.1001,                 3.1997,                0.00238,                0.19996,                0.00364,                0.00114,                 4.4496,                 4.4412,                  3.415,               0.024067,              0.0080674,              0.0080674
                      6,                 2.9013,                 2.8741,                  2.906,                0.51364,                0.03632,                0.00405,                0.00101,                 3.3342,                 3.7254,                 2.9148,               0.009505,               0.009505,               0.009505
                      7,                  2.715,                 2.5639,                 2.6542,                0.58785,                0.13342,                0.06119,                0.01676,                 2.6629,                  7.059,                 2.2906,               0.009406,               0.009406,               0.009406
                      8,                 2.5516,                  2.455,                 2.4492,                0.64476,                 0.1816,                0.14324,                0.04232,                 2.3843,                 6.1796,                 2.1071,               0.009307,               0.009307,               0.009307
                      9,                 2.4213,                  2.228,                 2.3285,                0.35067,                0.41502,                0.28873,                0.13482,                 2.1092,                 9.5256,                 2.0496,               0.009208,               0.009208,               0.009208
                     10,                 2.3231,                 2.0898,                 2.2325,                0.43511,                0.34834,                 0.3988,                 0.1436,                 2.4024,                 3.1009,                 2.1847,               0.009109,               0.009109,               0.009109
