                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3876,                 5.1924,                 4.3031,                0.00081,                 0.3449,                0.00251,                0.00124,                 5.3858,                 5.5323,                 4.0619,                 0.0856,                 0.0016,                 0.0016
                      2,                 4.2455,                 4.7498,                 4.1245,                0.00202,                0.23438,                0.00186,                0.00106,                 5.2202,                 5.1391,                  3.908,               0.070267,              0.0032673,              0.0032673
                      3,                 3.8047,                 4.2245,                 3.8778,                0.00199,                0.23438,                0.00548,                0.00149,                 5.1059,                 4.9572,                 3.7947,               0.054901,               0.004901,               0.004901
                      4,                 3.4076,                  3.509,                 3.5338,                0.00192,                0.23438,                0.00171,                0.00107,                 5.0913,                 4.8797,                 3.7788,               0.039501,               0.006501,               0.006501
                      5,                 3.1656,                 3.1551,                 3.2616,                 0.0019,                0.22771,                0.00263,                0.00102,                 4.9319,                 4.8929,                 3.6851,               0.024067,              0.0080674,              0.0080674
                      6,                 2.8927,                 2.8774,                 2.9399,                0.00389,                0.26411,                0.00337,                0.00089,                 3.3748,                 4.0607,                  3.101,               0.009505,               0.009505,               0.009505
                      7,                 2.7322,                 2.6744,                 2.6865,                 0.6467,                0.17857,                0.15706,                0.04115,                 2.5846,                 2.4361,                 2.3244,               0.009406,               0.009406,               0.009406
                      8,                  2.561,                 2.4763,                 2.4901,                0.24192,                0.31405,                0.19726,                0.06328,                 2.4284,                 2.2306,                 2.2176,               0.009307,               0.009307,               0.009307
                      9,                 2.4618,                 2.2324,                 2.3679,                0.20717,                0.25594,                0.15303,                0.05308,                 1.9688,                 2.0455,                 2.0031,               0.009208,               0.009208,               0.009208
                     10,                 2.3476,                 2.1002,                 2.2277,                0.31812,                0.40087,                0.26012,                0.09744,                 2.5795,                 2.7175,                 2.1611,               0.009109,               0.009109,               0.009109
                     11,                 2.2789,                 2.0693,                 2.1518,                0.31175,                0.30634,                0.25456,                0.09679,                 2.1795,                 1.9095,                 1.9852,                0.00901,                0.00901,                0.00901
                     12,                  2.187,                 1.9085,                 2.0607,                0.26072,                0.36946,                  0.296,                0.11302,                 2.1479,                 2.5699,                 1.9611,               0.008911,               0.008911,               0.008911
                     13,                 2.1353,                 1.8777,                 2.0133,                0.46027,                0.48398,                0.40877,                0.17684,                 1.8208,                 2.6718,                 1.7036,               0.008812,               0.008812,               0.008812
                     14,                 2.0808,                 1.7779,                 1.9277,                  0.539,                0.63652,                0.56864,                0.26818,                 1.9278,                 1.5815,                 1.7309,               0.008713,               0.008713,               0.008713
