                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4069,                 5.3077,                 4.3215,                0.00095,                0.28218,                0.00191,                0.00085,                 4.3915,                 4.6487,                 4.0999,                 0.0856,                 0.0016,                 0.0016
                      2,                 4.2824,                 4.8608,                 4.1383,                0.00285,                0.17327,                0.00208,                0.00092,                 4.2447,                 4.6028,                 3.9941,               0.070267,              0.0032673,              0.0032673
                      3,                 3.7965,                 4.2609,                 3.8863,                0.00285,                0.17327,                 0.0055,                0.00287,                 4.1313,                 4.6126,                 3.9238,               0.054901,               0.004901,               0.004901
                      4,                 3.3862,                 3.5096,                 3.4691,                0.00288,                0.17327,                0.00386,                0.00205,                 4.1238,                 4.6674,                 3.9268,               0.039501,               0.006501,               0.006501
                      5,                 3.1436,                 3.1702,                 3.1864,                 0.0027,                0.17327,                0.00811,                0.00285,                 4.0198,                   4.61,                 3.9068,               0.024067,              0.0080674,              0.0080674
                      6,                 2.9379,                 2.8504,                 2.9174,                 0.5307,                0.01996,                0.01195,                0.00436,                 3.5074,                 4.1218,                 3.6207,               0.009505,               0.009505,               0.009505
                      7,                 2.6879,                 2.6148,                 2.6482,                0.14214,                0.20201,                0.09431,                0.02904,                 2.8702,                 3.5263,                 3.0831,               0.009406,               0.009406,               0.009406
                      8,                 2.5534,                 2.4275,                 2.4539,                0.31727,                0.22564,                0.19215,                0.08668,                 2.5889,                 3.5535,                 2.9681,               0.009307,               0.009307,               0.009307
                      9,                  2.423,                  2.336,                  2.327,                0.17641,                0.43149,                0.25922,                0.15019,                 2.2774,                 4.7871,                 2.6384,               0.009208,               0.009208,               0.009208
                     10,                 2.3577,                 2.1133,                 2.2262,                0.46244,                0.39025,                0.35051,                0.10179,                 2.4581,                 2.4975,                 2.7001,               0.009109,               0.009109,               0.009109
                     11,                 2.2774,                 2.1383,                 2.1372,                0.40271,                0.57025,                0.45859,                0.15999,                 2.4293,                 2.3422,                 2.5463,                0.00901,                0.00901,                0.00901
                     12,                  2.231,                 1.9754,                 2.0747,                0.41864,                0.40308,                0.34609,                0.11915,                 2.3066,                 2.5789,                 2.5246,               0.008911,               0.008911,               0.008911
                     13,                 2.1778,                 1.8687,                 2.0128,                0.50396,                0.47763,                0.48748,                0.20616,                 2.1626,                 2.8557,                 2.4962,               0.008812,               0.008812,               0.008812
                     14,                 2.1284,                 1.8363,                 1.9609,                  0.363,                0.42914,                  0.409,                0.17724,                 1.9915,                 2.9105,                 2.2556,               0.008713,               0.008713,               0.008713
                     15,                 2.0571,                 1.7547,                 1.9161,                0.46439,                0.51672,                0.46703,                0.25056,                 2.5206,                 2.1865,                 2.5991,               0.008614,               0.008614,               0.008614
                     16,                 2.0609,                 1.7194,                  1.895,                0.47807,                0.54297,                0.46591,                0.16237,                 2.2775,                 2.9299,                 2.3578,               0.008515,               0.008515,               0.008515
                     17,                 1.9837,                 1.6683,                 1.8692,                0.55777,                0.62065,                0.63004,                0.31777,                 2.1895,                 1.9189,                 2.2527,               0.008416,               0.008416,               0.008416
                     18,                 1.9749,                 1.6157,                 1.8034,                0.40006,                0.57932,                0.45419,                0.20585,                 1.9058,                  1.976,                 2.1452,               0.008317,               0.008317,               0.008317
                     19,                 1.9559,                 1.5848,                 1.7942,                0.59962,                 0.5677,                0.62013,                0.31873,                 2.3426,                 2.2178,                 2.4413,               0.008218,               0.008218,               0.008218
                     20,                  1.926,                 1.5803,                 1.7665,                0.72915,                0.60831,                0.68221,                0.36161,                 2.1044,                 1.9232,                 2.3367,               0.008119,               0.008119,               0.008119
                     21,                 1.8879,                 1.5113,                  1.735,                0.67186,                0.61325,                0.67201,                0.32142,                 2.4486,                 1.7658,                 2.5523,                0.00802,                0.00802,                0.00802
                     22,                 1.8911,                 1.5191,                 1.7645,                0.54909,                0.58952,                0.60695,                0.29884,                  2.137,                  1.725,                 2.1846,               0.007921,               0.007921,               0.007921
                     23,                 1.8795,                 1.4974,                 1.7332,                 0.7987,                0.70857,                0.78139,                0.45174,                  2.059,                 1.7801,                 2.1919,               0.007822,               0.007822,               0.007822
                     24,                 1.8396,                 1.4725,                  1.701,                0.70103,                0.36804,                0.44184,                0.19552,                 2.5139,                  2.806,                 2.4744,               0.007723,               0.007723,               0.007723
                     25,                 1.8155,                 1.4188,                 1.7085,                0.71103,                0.57457,                0.69079,                0.37005,                 1.8424,                 1.7988,                 2.0202,               0.007624,               0.007624,               0.007624
                     26,                 1.7552,                 1.3582,                 1.6543,                 0.6036,                0.69988,                0.62151,                 0.3008,                  2.123,                 1.6359,                  2.303,               0.007525,               0.007525,               0.007525
                     27,                 1.7908,                 1.3763,                 1.6928,                 0.6315,                0.67994,                0.70258,                0.35231,                 2.1953,                 1.6818,                 2.3837,               0.007426,               0.007426,               0.007426
                     28,                 1.7563,                 1.3581,                 1.6608,                0.81467,                0.71935,                0.77824,                0.43614,                  2.066,                 1.6325,                 2.0556,               0.007327,               0.007327,               0.007327
                     29,                 1.7667,                 1.3705,                 1.6206,                0.82437,                0.75441,                0.82563,                0.47107,                 1.8814,                 1.4142,                  1.974,               0.007228,               0.007228,               0.007228
                     30,                 1.7613,                 1.3156,                 1.6157,                0.74585,                0.72602,                0.81389,                0.46288,                 1.8687,                 1.3669,                 2.0092,               0.007129,               0.007129,               0.007129
                     31,                 1.7523,                 1.3253,                 1.6296,                0.82403,                0.77557,                0.84253,                0.49685,                 1.7255,                 1.4401,                 1.9248,                0.00703,                0.00703,                0.00703
                     32,                 1.7131,                 1.3034,                 1.5839,                0.76689,                0.74882,                0.80299,                0.46858,                 1.9048,                 1.9107,                 2.0187,               0.006931,               0.006931,               0.006931
                     33,                 1.7304,                 1.2627,                 1.5864,                0.77603,                0.74069,                0.79638,                0.45966,                 1.8464,                 2.0042,                  2.009,               0.006832,               0.006832,               0.006832
                     34,                 1.6925,                 1.2546,                 1.5954,                 0.7775,                0.77258,                0.83104,                0.48118,                  1.631,                 1.3472,                 1.8099,               0.006733,               0.006733,               0.006733
                     35,                 1.6975,                 1.2646,                 1.5786,                0.84896,                0.77844,                 0.8537,                 0.5187,                  1.742,                 1.3199,                  1.834,               0.006634,               0.006634,               0.006634
                     36,                 1.7178,                 1.2581,                  1.553,                0.80485,                0.76158,                0.80998,                0.48862,                 1.8075,                 1.3807,                 1.8908,               0.006535,               0.006535,               0.006535
                     37,                 1.6863,                 1.2653,                 1.5532,                0.76384,                0.72374,                0.79237,                0.46324,                 1.8797,                 1.4505,                 1.8791,               0.006436,               0.006436,               0.006436
                     38,                  1.676,                 1.2588,                 1.5413,                0.74238,                0.73622,                0.79764,                0.45883,                  2.064,                 1.7065,                 2.0709,               0.006337,               0.006337,               0.006337
                     39,                 1.6552,                 1.2046,                 1.5364,                0.82775,                0.76412,                0.86321,                0.51827,                 1.5847,                 1.2246,                 1.6628,               0.006238,               0.006238,               0.006238
                     40,                 1.6427,                 1.1892,                 1.5286,                0.82842,                0.68925,                0.77524,                0.45193,                 1.9333,                 1.9667,                 2.0008,               0.006139,               0.006139,               0.006139
                     41,                 1.6456,                 1.2322,                 1.5384,                0.80599,                0.73378,                0.82029,                0.51529,                 1.4174,                 1.3802,                  1.627,                0.00604,                0.00604,                0.00604
                     42,                 1.6255,                 1.1916,                 1.5396,                0.85497,                0.77894,                0.85651,                0.51674,                 1.8068,                 1.2868,                 1.8128,               0.005941,               0.005941,               0.005941
                     43,                  1.635,                 1.2115,                 1.5307,                0.81478,                0.81517,                0.85961,                0.54198,                 1.5316,                 1.1907,                  1.653,               0.005842,               0.005842,               0.005842
                     44,                 1.6296,                 1.1821,                 1.5218,                0.86782,                0.78964,                0.86073,                0.51994,                 1.4252,                  1.172,                 1.5602,               0.005743,               0.005743,               0.005743
                     45,                 1.6162,                 1.1366,                 1.4842,                0.77201,                0.78169,                0.82471,                0.46502,                 1.4637,                 1.2943,                 1.5707,               0.005644,               0.005644,               0.005644
                     46,                  1.557,                 1.2101,                   1.48,                0.84109,                0.82414,                0.86599,                0.53985,                 1.3585,                 1.1769,                 1.4904,               0.005545,               0.005545,               0.005545
                     47,                 1.5931,                 1.1513,                 1.4735,                0.85536,                0.80208,                0.87634,                0.54525,                 1.4184,                 1.0923,                 1.5074,               0.005446,               0.005446,               0.005446
                     48,                  1.604,                 1.1412,                 1.4861,                0.85313,                0.80346,                0.87341,                0.53894,                 1.5172,                 1.0807,                 1.5237,               0.005347,               0.005347,               0.005347
                     49,                 1.5686,                 1.1417,                 1.4648,                0.83935,                0.82535,                0.87279,                0.54484,                 1.4093,                 1.0878,                 1.4908,               0.005248,               0.005248,               0.005248
                     50,                  1.582,                 1.1186,                 1.4537,                0.82374,                0.80537,                 0.8632,                0.53614,                 1.5058,                 1.0771,                 1.5694,               0.005149,               0.005149,               0.005149
                     51,                 1.5268,                 1.0783,                 1.4372,                0.83651,                0.82152,                0.86287,                0.54376,                 1.4982,                 1.1474,                 1.5947,                0.00505,                0.00505,                0.00505
                     52,                 1.5568,                 1.1127,                  1.473,                0.86444,                0.81412,                0.87518,                0.54111,                 1.5931,                 1.1617,                 1.6275,               0.004951,               0.004951,               0.004951
                     53,                 1.5388,                 1.0667,                  1.434,                0.81702,                 0.8042,                0.85333,                0.49281,                 1.5682,                  1.218,                 1.5976,               0.004852,               0.004852,               0.004852
                     54,                 1.5589,                 1.0785,                 1.4441,                0.86412,                0.78946,                0.87977,                0.54823,                 1.5568,                 1.2984,                 1.5884,               0.004753,               0.004753,               0.004753
                     55,                 1.5464,                  1.065,                 1.4379,                0.83939,                0.78869,                0.86686,                0.54188,                 1.6562,                 1.2372,                 1.6917,               0.004654,               0.004654,               0.004654
                     56,                 1.5265,                  1.051,                 1.4359,                0.84642,                0.81305,                0.88749,                0.55008,                 1.4508,                 1.1421,                 1.5371,               0.004555,               0.004555,               0.004555
                     57,                  1.523,                 1.0478,                 1.4116,                0.85259,                0.84082,                0.88257,                0.56096,                 1.3623,                 1.0993,                  1.477,               0.004456,               0.004456,               0.004456
                     58,                 1.5453,                 1.0759,                 1.4164,                0.87849,                0.81874,                0.88689,                0.54749,                 1.5087,                 1.0767,                  1.561,               0.004357,               0.004357,               0.004357
                     59,                 1.5155,                 1.0373,                 1.4036,                0.83665,                0.78453,                0.85923,                0.51047,                 1.5726,                 1.1121,                 1.6131,               0.004258,               0.004258,               0.004258
                     60,                 1.5005,                 1.0281,                 1.4298,                0.86585,                0.78823,                0.88365,                0.55741,                 1.5585,                 1.0377,                  1.604,               0.004159,               0.004159,               0.004159
                     61,                 1.5269,                 1.0753,                 1.4473,                0.86037,                0.84191,                0.88853,                0.56959,                 1.5475,                 1.0949,                 1.5573,                0.00406,                0.00406,                0.00406
                     62,                 1.4874,                  1.024,                 1.3955,                0.89191,                0.80101,                0.86977,                0.57078,                 1.6987,                 1.1446,                 1.7226,               0.003961,               0.003961,               0.003961
