                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7249,                 1.2705,                 1.5944,                0.79771,                0.77925,                0.83014,                0.52082,                 1.7608,                 1.2172,                 1.8381,               0.006634,               0.006634,               0.006634
                     36,                 1.7138,                 1.3089,                 1.5574,                0.80952,                0.66455,                0.76273,                0.46599,                   1.51,                 1.3865,                 1.7299,               0.006535,               0.006535,               0.006535
                     37,                 1.6453,                 1.2605,                 1.5503,                0.84064,                0.74284,                0.84873,                0.54426,                 1.6606,                 1.1806,                 1.7283,               0.006436,               0.006436,               0.006436
                     38,                 1.6286,                 1.1853,                 1.5473,                0.81461,                0.72934,                0.80553,                0.49162,                 2.4458,                 2.0453,                 2.2805,               0.006337,               0.006337,               0.006337
                     39,                 1.6734,                 1.2259,                 1.5691,                0.82028,                0.78672,                 0.8413,                0.53896,                 1.6857,                 1.3187,                 1.7036,               0.006238,               0.006238,               0.006238
                     40,                  1.625,                 1.1888,                 1.5331,                0.86941,                0.78043,                0.86915,                0.55069,                 1.6324,                 1.1562,                 1.6647,               0.006139,               0.006139,               0.006139
                     41,                 1.6185,                 1.2268,                 1.5237,                0.83262,                0.74227,                0.84154,                0.54011,                 1.5589,                 1.1442,                 1.7141,                0.00604,                0.00604,                0.00604
                     42,                 1.6465,                 1.2284,                 1.5608,                 0.8336,                0.76245,                0.83222,                0.52933,                 1.6469,                 1.1135,                 1.8056,               0.005941,               0.005941,               0.005941
                     43,                 1.6207,                 1.1842,                 1.5494,                0.81579,                0.79697,                0.86468,                0.56294,                 1.6497,                 1.0993,                  1.769,               0.005842,               0.005842,               0.005842
                     44,                 1.6344,                 1.1865,                  1.539,                0.83522,                0.76811,                 0.8498,                0.53727,                 1.6328,                 1.1599,                 1.7253,               0.005743,               0.005743,               0.005743
                     45,                 1.6095,                 1.1572,                 1.4923,                0.85854,                0.78292,                 0.8683,                0.57007,                 1.5261,                 1.0544,                 1.6111,               0.005644,               0.005644,               0.005644
                     46,                 1.5908,                 1.1976,                  1.527,                0.83044,                0.78717,                0.86531,                0.54668,                 1.9418,                 1.4866,                  1.845,               0.005545,               0.005545,               0.005545
                     47,                 1.5969,                 1.1494,                 1.5295,                 0.8802,                0.79891,                0.87516,                0.55992,                 1.4596,                 1.0564,                 1.6164,               0.005446,               0.005446,               0.005446
                     48,                 1.6054,                 1.1865,                 1.5385,                0.85756,                0.81453,                0.87694,                0.56198,                 1.5662,                 1.2051,                 1.6295,               0.005347,               0.005347,               0.005347
                     49,                 1.5734,                 1.1111,                 1.4857,                0.85754,                0.81911,                0.86465,                0.56826,                  1.916,                 1.1384,                 1.8803,               0.005248,               0.005248,               0.005248
                     50,                 1.5787,                 1.1143,                 1.4917,                0.81914,                0.81087,                0.85939,                 0.5463,                 1.8499,                 1.1374,                 1.7763,               0.005149,               0.005149,               0.005149
                     51,                  1.529,                 1.1074,                 1.4781,                0.81098,                0.79771,                0.85642,                0.54171,                 1.5958,                  1.109,                 1.6677,                0.00505,                0.00505,                0.00505
                     52,                 1.5639,                 1.1198,                 1.4738,                0.85238,                 0.7956,                0.86787,                0.53696,                 1.5671,                 1.0875,                 1.6558,               0.004951,               0.004951,               0.004951
                     53,                 1.5974,                 1.1337,                 1.4604,                0.84949,                0.83198,                0.88749,                0.54983,                 1.5211,                 1.0418,                 1.6308,               0.004852,               0.004852,               0.004852
                     54,                 1.5983,                 1.0971,                 1.4743,                0.86717,                0.82253,                0.87834,                 0.5569,                 1.7775,                 1.1512,                 1.7468,               0.004753,               0.004753,               0.004753
                     55,                 1.5461,                 1.0752,                 1.4592,                0.85088,                0.82119,                0.88725,                0.57888,                 1.7117,                 1.0807,                 1.7246,               0.004654,               0.004654,               0.004654
                     56,                 1.5269,                 1.0787,                 1.4451,                0.87076,                0.79531,                0.88573,                0.57741,                 1.6332,                  1.001,                 1.6797,               0.004555,               0.004555,               0.004555
                     57,                 1.5372,                 1.0649,                 1.4529,                0.85284,                0.81385,                0.87128,                0.59511,                 1.6792,                 1.0107,                 1.7002,               0.004456,               0.004456,               0.004456
                     58,                 1.5399,                 1.0859,                  1.466,                0.88723,                0.80737,                0.88739,                0.57608,                 1.6394,                 1.0221,                 1.6263,               0.004357,               0.004357,               0.004357
                     59,                 1.5157,                 1.0512,                 1.4297,                0.85426,                0.86405,                0.89632,                0.59622,                  1.639,                 1.0567,                 1.6419,               0.004258,               0.004258,               0.004258
                     60,                  1.535,                 1.0552,                  1.449,                 0.8967,                0.82362,                0.89608,                0.58625,                  1.417,                 1.0086,                 1.5652,               0.004159,               0.004159,               0.004159
                     61,                 1.5172,                 1.0589,                 1.4468,                0.89205,                0.81511,                0.90257,                 0.5953,                 1.5067,                0.98568,                 1.5788,                0.00406,                0.00406,                0.00406
                     62,                 1.5358,                 1.0488,                 1.4394,                0.84112,                0.82761,                 0.8798,                0.58522,                 1.7967,                 1.0147,                 1.7339,               0.003961,               0.003961,               0.003961
                     63,                 1.5337,                 1.0668,                 1.4338,                0.84796,                0.80388,                 0.8872,                0.57319,                  1.696,                 1.0793,                 1.6646,               0.003862,               0.003862,               0.003862
                     64,                 1.4947,                 1.0376,                 1.4193,                0.90088,                0.80447,                0.89917,                0.58716,                 1.8453,                 1.0714,                 1.7769,               0.003763,               0.003763,               0.003763
                     65,                 1.5019,                  1.012,                 1.4379,                0.88437,                0.84011,                0.90118,                0.60244,                 1.7502,                 1.0142,                 1.7402,               0.003664,               0.003664,               0.003664
                     66,                 1.5094,                 1.0103,                 1.4304,                0.87728,                0.79734,                0.89765,                0.59733,                 1.5664,                 1.0336,                 1.5993,               0.003565,               0.003565,               0.003565
                     67,                 1.4866,                 1.0116,                 1.4167,                0.87535,                0.82473,                 0.8981,                0.59108,                 1.8194,                 1.0465,                 1.7887,               0.003466,               0.003466,               0.003466
                     68,                 1.5089,                 1.0254,                 1.4226,                0.84885,                0.84307,                0.88671,                0.59081,                  1.555,                 0.9802,                 1.5943,               0.003367,               0.003367,               0.003367
                     69,                 1.4882,                  1.001,                 1.4276,                  0.869,                0.80658,                0.88028,                0.58028,                 1.8138,                  1.042,                 1.8529,               0.003268,               0.003268,               0.003268
                     70,                 1.5002,                 1.0293,                 1.4509,                0.89986,                0.82039,                0.90471,                0.60679,                 1.7461,                 1.0174,                 1.7368,               0.003169,               0.003169,               0.003169
                     71,                 1.4753,                0.99382,                 1.3986,                0.90555,                0.83534,                0.90401,                0.60174,                 1.7601,                0.93982,                 1.7617,                0.00307,                0.00307,                0.00307
                     72,                 1.4275,                0.97627,                 1.3927,                0.86681,                0.83205,                0.88392,                0.60814,                 1.7601,                0.99117,                 1.8083,               0.002971,               0.002971,               0.002971
                     73,                 1.4682,                0.99917,                 1.4406,                0.89062,                 0.7967,                0.87959,                0.59369,                 1.8166,                0.94743,                 1.7924,               0.002872,               0.002872,               0.002872
                     74,                 1.4842,                 1.0179,                   1.42,                0.84407,                0.84834,                0.89192,                0.58395,                 1.7554,                0.99019,                 1.7088,               0.002773,               0.002773,               0.002773
                     75,                 1.4629,                0.98129,                 1.3845,                0.85527,                0.83971,                0.89275,                0.59318,                 1.5205,                0.92322,                  1.557,               0.002674,               0.002674,               0.002674
                     76,                 1.4552,                0.97682,                 1.3759,                0.88324,                0.84997,                0.90768,                0.60498,                 1.7591,                0.97252,                 1.7628,               0.002575,               0.002575,               0.002575
                     77,                 1.4559,                0.95875,                 1.3936,                0.86445,                0.85333,                0.89926,                0.60435,                 1.7007,                0.99552,                 1.6478,               0.002476,               0.002476,               0.002476
